Name,SMILES,Planarity,RDKit Planarity,RDKit MMFFOptimize Planarity,HOMO-LUMO Energy Gap /eV,Linker Type,Functional Group
c_9_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=NSN=C34)=C1OC)N(C)C=C2,0.5877646140183271,0.9727744427260103,0.42795558238875375,2.8169225803760005,double,None
c_9_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=NSN=C34)=C1OC)N(C)C=C2,1.0,1.0,1.0,2.67215801191,triple,None
c_9_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=NSN=C34)=C1OC)N(C)C=C2,0.4970917146442266,0.5012838837644268,0.5755263288314523,2.486576365869,imine,None
c_16_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=C3N=CC=N4)=C1OC)N(C)C=C2,0.7636893497670763,0.9826551991739281,0.39512511888827007,2.9793745491245005,double,None
c_16_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=C3N=CC=N4)=C1OC)N(C)C=C2,1.0,1.0,1.0,2.9595102380380003,triple,None
c_16_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=C3N=CC=N4)=C1OC)N(C)C=C2,0.6609132488922158,0.3563631613912858,0.6050611703153661,2.7630440379770005,imine,None
c_18_v1_triple,COC1=CC2=C(C(/C#C/C3=NC=CC4=NSN=C34)=C1OC)N(C)C=C2,1.0,1.0,1.0,2.5954219060690007,triple,None
g_9_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=NSN=C34)=C1OC)NC=C2,0.9673317753819042,0.9737909040517925,0.7298162063710645,2.781547779811,double,None
g_9_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=NSN=C34)=C1OC)NC=C2,1.0,1.0,1.0,2.599775727677,triple,None
g_9_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=NSN=C34)=C1OC)NC=C2,0.6900911082731721,0.29142848084170153,0.7243843005284585,2.6103881678465,imine,None
g_9_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CC=CC4=NSN=C34)=C2,0.9999968817659036,0.999999999250095,0.932245623317868,2.4275276603105005,double,None
g_9_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=CC=CC4=NSN=C34)=C2,1.0,1.0,1.0,2.7181452526445,triple,None
g_9_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=CC=CC4=NSN=C34)=C2,0.999999771450386,0.8441213082184986,0.7682520990663466,2.5995036138265,imine,None
g_9_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C2,0.9713743993018134,0.9999999888141747,0.8589399682251272,2.3306551295325,thio,None
g_13_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C(SC=C3S4)=C3SC4=S)=C2,0.9999994186153336,0.9999999994103637,0.9102247177512345,2.896379824722,double,None
g_13_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C(SC=C3S4)=C3SC4=S)=C2,1.0,1.0,1.0,3.1135266774210004,triple,None
