D_A,donor,acceptor,D_A_a_crit,D_A_d_crit,A_D_a_crit,A_D_d_crit,Predicted_eg,Predicted_eg_Melanin_acceptor,HOMO-pi,LUMO-pi,HOMO-mel,LUMO-mel,Type,Melanin_substitution_type,DHI_or_DHICA
b_18_B_OH,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,OC1:cc2nsnc2cn:1,1.7705109868677678,2.452086855,0.7609037724430099,0.5494048819850716,2.092827624,6.744341784642501,-6.438213702830001,-2.7328394005715,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_methyl,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CC1:cc2nsnc2cn:1,1.9676144332525816,2.404564579880148,0.7130595886267392,0.5834845735027223,2.134188929,7.1968671180240005,-6.8907390362115,-2.6914780952955,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_cyanide,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,N#CC1:cc2nsnc2cn:1,2.968018275271274,3.590138968208643,0.6459225262869472,0.5339932184813508,1.429414057,7.944908093048501,-7.638780011236001,-3.3962529680905003,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_sulf_acid,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,O=S(=O)(O)C1:cc2nsnc2cn:1,3.511735878256384,4.8643280887283975,0.6594747700807777,0.4760988914921146,1.0549853983885005,7.781639782748501,-7.475511700936001,-3.7706816263785,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_S,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,SC1:cc2nsnc2cn:1,1.800413793103448,2.601241379310345,0.7646987267861488,0.5292758089368259,1.972825416,6.710871781031,-6.4047436992185,-2.852841608642,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_Br,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,BrC1:cc2nsnc2cn:1,2.2012617325742427,2.901831050930913,0.7072301807545188,0.5364884122103053,1.768467914,7.256187937433001,-6.950059855620501,-3.0571991103675002,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_trifluro,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,FC(F)(F)C1:cc2nsnc2cn:1,2.817241379310344,3.2515517241379306,0.6414844042314365,0.5558012177284941,1.5782603329000002,7.9998750908495,-7.693747009037,-3.247406691867,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
g_6_B_acetate,COC(C(OC)=C1)=CC2=C1C=CN2[H],COC(=O)C1:ccoc:1,1.470742534301856,1.272598870056497,0.7299768518518519,0.8436342592592592,4.045788729234001,7.05319100496,-6.772913738945,-0.8226001700615,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_6_B_amide,COC(C(OC)=C1)=CC2=C1C=CN2[H],CNC(=O)C1:ccoc:1,1.356261343012704,1.1446460980036297,0.7626360338573157,0.90362757,4.4980419487650005,6.751144630905,-6.47086736489,-0.37034695053050004,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_6_B_carbonyl,COC(C(OC)=C1)=CC2=C1C=CN2[H],O=CC1:ccoc:1,1.5817719911082884,1.5021435376309935,0.7208274600937178,0.7590384395596024,3.427546060898001,7.142716461774501,-6.862439195759501,-1.4408428383975,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_6_B_F,COC(C(OC)=C1)=CC2=C1C=CN2[H],FC1:ccoc:1,1.3343008927104438,1.0362560928857003,0.7560839160839162,0.9735464535464536,4.968526796279501,6.8096491087625,-6.5293718427475,0.10013789698400001,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
