Name,SMILES,SYBA,Functional Group,Linker
b_18_v1_double,COC1=CC2=C(C(/C=C/C3=NC=CC4=NSN=C34)=C1OC)C=CN2C,40.35271336213493,double,none
b_18_v1_triple,COC1=CC2=C(C(/C#C/C3=NC=CC4=NSN=C34)=C1OC)C=CN2C,46.09999445608703,triple,none
b_18_v1_imine,COC1=CC2=C(C(/C=N/C3=NC=CC4=NSN=C34)=C1OC)C=CN2C,42.99413793889944,imine,none
b_18_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=NC=CC5=NSN=C45)S3)=C1OC)C=CN2C,31.96261692324397,thio,none
b_18_v2_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=NC=CC4=NSN=C34)N2C,48.456542541460365,double,none
b_18_v2_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=NC=CC4=NSN=C34)N2C,56.99725082973512,triple,none
b_18_v2_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=NC=CC4=NSN=C34)N2C,52.3523840452242,imine,none
b_18_v2_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=NC=CC5=NSN=C45)S3)N2C,49.13714142186367,thio,none
b_18_v3_double,COC1=CC2=C(C(/C=C/C3=CN=CC4=NSN=C34)=C1OC)C=CN2C,40.70237062712372,double,none
b_18_v3_triple,COC1=CC2=C(C(/C#C/C3=CN=CC4=NSN=C34)=C1OC)C=CN2C,42.2785970701014,triple,none
b_18_v3_imine,COC1=CC2=C(C(/C=N/C3=CN=CC4=NSN=C34)=C1OC)C=CN2C,41.5393513796466,imine,none
b_18_v3_thio,COC1=CC2=C(C(C3=CC=C(C4=CN=CC5=NSN=C45)S3)=C1OC)C=CN2C,22.67993237189848,thio,none
b_18_v4_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=CN=CC4=NSN=C34)N2C,45.43759574373165,double,none
b_18_v4_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=CN=CC4=NSN=C34)N2C,50.50039800385769,triple,none
b_18_v4_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=CN=CC4=NSN=C34)N2C,48.222142046079554,imine,none
b_18_v4_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=CN=CC5=NSN=C45)S3)N2C,40.54760549334384,thio,none
c_9_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=NSN=C34)=C1OC)N(C)C=C2,53.91928434321749,double,none
c_9_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=NSN=C34)=C1OC)N(C)C=C2,48.364762037983176,triple,none
c_9_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=NSN=C34)=C1OC)N(C)C=C2,57.770764131695934,imine,none
c_9_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C1OC)N(C)C=C2,29.860089776666285,thio,none
c_13_v1_double,COC1=CC2=C(C(/C=C/C(SC=C3S4)=C3SC4=S)=C1OC)N(C)C=C2,31.35627067047381,double,none
c_13_v1_triple,COC1=CC2=C(C(/C#C/C(SC=C3S4)=C3SC4=S)=C1OC)N(C)C=C2,33.87712993522091,triple,none
c_13_v1_imine,COC1=CC2=C(C(/C=N/C(SC=C3S4)=C3SC4=S)=C1OC)N(C)C=C2,34.68242535418335,imine,none
