Name,SMILES,Planarity,HOMO-LUMO Energy Gap /eV,IP,EA,λ-Anion /meV,λ-Cation /meV,Linker Type,Melanin_substitution_type,Dyad_functionalisation_type
b_v2_triple_b_18_B_methyl_B,COc1cc2cc(C#Cc3c(C)ncc4nsnc34)n(C)c2cc1OC,1.0,2.3431723666555,6.172811812568398,1.4474516674890765,308.6386042050435,558.7242942638113,triple,R = CH$_3$,methyl
b_v2_triple_b_18_B_cyanide_A,COc1cc2cc(C#Cc3c(C#N)ncc4nsnc34)n(C)c2cc1OC,1.0,2.2430344696715,6.39058670403756,1.9752249160519568,215.5231493525207,681.866424070904,triple,R = CH$_3$,cyanide
b_v2_triple_b_18_B_cyanide_B,COc1cc2cc(C#Cc3nc(C#N)cc4nsnc34)n(C)c2cc1OC,1.0,2.3627645638915,6.473523196073074,1.9648628206268768,230.21593671001028,701.25453590299,triple,R = CH$_3$,cyanide
b_v2_triple_b_18_B_sulf_acid_A,COc1cc2cc(C#Cc3nc(S(=O)(=O)O)cc4nsnc34)n(C)c2cc1OC,1.0,2.3654857023965,6.553893110263743,2.276070995925693,449.0879912336823,809.9501413817052,triple,R = CH$_3$,sulf
b_v2_triple_b_18_B_sulf_acid_B,COc1cc2cc(C#Cc3c(S(=O)(=O)O)ncc4nsnc34)n(C)c2cc1OC,1.0,2.0367721709925,6.416074247827055,2.180464610893978,343.21692751836963,590.3300458885496,triple,R = CH$_3$,sulf
b_v2_triple_b_18_B_Br_A,COc1cc2cc(C#Cc3nc(Br)cc4nsnc34)n(C)c2cc1OC,1.0,2.4492967683505,6.369134880747879,1.8188862570823403,296.06694432732183,677.2513731411891,triple,R = CH$_3$,Br
b_v2_triple_b_18_B_Br_B,COc1cc2cc(C#Cc3c(Br)ncc4nsnc34)n(C)c2cc1OC,1.0,2.267252602366,6.2400032529985765,1.7936240235430887,326.2792009190889,669.1815648082411,triple,R = CH$_3$,Br
b_v2_triple_b_18_B_trifluro_A,COc1cc2cc(C#Cc3nc(C(F)(F)F)cc4nsnc34)n(C)c2cc1OC,1.0,2.4656235993805,6.401093836138898,1.7703027780953562,275.68099097698,709.3733247602358,triple,R = CH$_3$,trifluro
b_v2_triple_b_18_B_trifluro_B,COc1cc2cc(C#Cc3c(C(F)(F)F)ncc4nsnc34)n(C)c2cc1OC,1.0,2.2759602455820005,6.326649201037071,1.8589419600975816,295.4359122886672,698.7037406797754,triple,R = CH$_3$,trifluro
b_v2_double_b_9_A_acetate_A,COC(=O)c1cc(C=Cc2cc3cc(OC)c(OC)cc3n2C)c2nsnc2c1,0.9999276934720124,2.3464377328615,5.999176780904236,1.3922699718605145,294.23969980416587,544.7283904868527,double,R = CH$_3$,acetate
