Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_147_single_A,COc1cc2cc[nH]c2c(C2:c(O)ccc3nonc:23)c1OC,-5.466734,-2.24457,3.222165,0.7408136491946591,2.861764248498309,single,OH,DHI,Unmethlyated,7 - DHI,single
0_148_single_A,COc1cc2cc[nH]c2c(C2:c(S)ccc3nonc:23)c1OC,-5.44487,-2.344101,3.100769,0.3128504467342994,3.0610670457011064,single,SH,DHI,Unmethlyated,7 - DHI,single
0_149_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ccc3nonc:23)c1OC,-5.351021,-2.559128,2.791892,0.3291447911616388,2.8991740387081,single,Br,DHI,Unmethlyated,7 - DHI,single
0_150_single_A,COc1cc2cc[nH]c2c(C2:cccc3nonc:23)c1OC,-5.38742,-2.471045,2.916375,0.7680808848553304,2.6687663860329103,single,none,DHI,Unmethlyated,7 - DHI,single
0_151_single_A,COc1cc2cc[nH]c2c(C2:c(C)ccc3nonc:23)c1OC,-5.39062,-2.281963,3.108657,0.5346021115563241,2.8115887240227853,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_152_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ccc3nonc:23)c1OC,-5.373016,-2.979053,2.393963,0.5429707923765097,2.953214743789349,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_153_single_A,COc1cc2cc[nH]c2c(C2:cc(OC(C)=O)cc3nonc:23)c1OC,-5.221462,-2.356148,2.865314,0.5856522978421036,2.902755684889856,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_154_single_A,COc1cc2cc[nH]c2c(C2:cc(NC(C)=O)cc3nonc:23)c1OC,-5.442703,-2.358844,3.083858,0.7803162072772525,2.827279177613349,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_155_single_A,CNc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nonc2c1,-5.298847,-2.012342,3.286505,0.7363144949380452,2.93972778726761,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_156_single_A,COc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nonc2c1,-5.404293,-2.333885,3.070408,0.7399433700422315,2.8010013658629287,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_157_single_A,COc1cc2cc[nH]c2c(C2:cc(C=O)cc3nonc:23)c1OC,-5.567117,-3.065588,2.501529,0.7752834685937964,2.98845220198333,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_158_single_A,COc1cc2cc[nH]c2c(C2:cc(S(=O)(=O)O)cc3nonc:23)c1OC,-5.609641,-3.052117,2.557524,0.7726641791270582,2.9500197950484868,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_159_single_A,COc1cc2cc[nH]c2c(C2:cc(C(F)(F)F)cc3nonc:23)c1OC,-5.541815,-2.825755,2.716059,0.7759926381293005,2.9150250637523865,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_160_single_A,COc1cc2cc[nH]c2c(C2:cc(F)cc3nonc:23)c1OC,-5.507191,-2.578282,2.928909,0.7776957342461238,2.8536390736731345,single,F,DHI,Unmethlyated,7 - DHI,single
0_161_single_A,COc1cc2cc[nH]c2c(C2:cc(O)cc3nonc:23)c1OC,-5.460956,-2.36474,3.096216,0.7820032049117565,2.939136975771037,single,OH,DHI,Unmethlyated,7 - DHI,single
0_162_single_A,COc1cc2cc[nH]c2c(C2:cc(S)cc3nonc:23)c1OC,-5.485266,-2.52599,2.959276,0.7742070156913022,3.166778234512296,single,SH,DHI,Unmethlyated,7 - DHI,single
0_163_single_A,COc1cc2cc[nH]c2c(C2:cc(Br)cc3nonc:23)c1OC,-5.525643,-2.715655,2.809988,0.7716876192531025,2.895274038708098,single,Br,DHI,Unmethlyated,7 - DHI,single
0_164_single_A,COc1cc2cc[nH]c2c(C2:cc(C)cc3nonc:23)c1OC,-5.363429,-2.341223,3.022205,0.7652606284298712,2.8196383743724347,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_165_single_A,COc1cc2cc[nH]c2c(C2:cc(C#N)cc3nonc:23)c1OC,-5.64316,-3.110994,2.532166,0.7738002231665754,2.9606715999766404,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_166_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ncc3nonc:23)c1OC,-5.329846,-2.887718,2.442128,0.4355121447875464,3.1483190944532664,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_167_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ncc3nonc:23)c1OC,-5.64546,-2.789066,2.856394,0.6296543105979245,3.069360466594638,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_168_single_A,CNc1ncc2nonc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.328758,-2.454208,2.87455,0.4531276391887011,3.131318422719115,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_169_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ncc3nonc:23)c1OC,-5.169941,-2.692401,2.477539,0.5843261941176487,3.051281633421457,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_170_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ncc3nonc:23)c1OC,-5.275759,-3.25156,2.024199,0.4671652298156954,3.242334476230821,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_171_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ncc3nonc:23)c1OC,-5.614323,-3.584931,2.029392,0.475985504993228,3.2523799636470114,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_172_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ncc3nonc:23)c1OC,-5.443844,-3.110818,2.333027,0.4556648548285127,3.151384600106444,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_173_single_A,COc1cc2cc[nH]c2c(C2:c(F)ncc3nonc:23)c1OC,-5.359211,-3.058674,2.300537,0.6604526257709249,3.1219104023444624,single,F,DHI,Unmethlyated,7 - DHI,single
