Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_68_single_A,COc1cc2cc[nH]c2c(C2:c(C)ncc3nsnc:23)c1OC,-5.474192,-2.730026,2.744166,3.044999213533273,0.23895102092120202,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_69_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ncc3nsnc:23)c1OC,-5.347357,-3.22675,2.120607,3.206047519709082,0.21412580689710586,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_70_single_A,COc1cc2cc[nH]c2c(C2:nc(OC(C)=O)cc3nsnc:23)c1OC,-5.095559,-2.687209,2.40835,3.1768889489231205,0.5850309869436503,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_71_single_A,COc1cc2cc[nH]c2c(C2:nc(NC(C)=O)cc3nsnc:23)c1OC,-5.44086,-2.636851,2.804009,3.055968990503162,0.4984212017452158,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_72_single_A,CNc1cc2nsnc2:C(c2c(OC)c(OC)cc3cc[nH]c23):n1,-5.11655,-2.282045,2.834505,3.1188047103445324,0.574784975053121,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_73_single_A,COc1cc2nsnc2:C(c2c(OC)c(OC)cc3cc[nH]c23):n1,-5.393935,-2.629653,2.764282,3.0707545431204526,0.5406614163158456,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_74_single_A,COc1cc2cc[nH]c2c(C2:nc(C=O)cc3nsnc:23)c1OC,-5.342768,-3.07183,2.270938,3.226156549809416,0.6047050324806149,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_75_single_A,COc1cc2cc[nH]c2c(C2:nc(S(=O)(=O)O)cc3nsnc:23)c1OC,-5.498758,-3.205604,2.293153,3.282777013172828,0.6325172703601039,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_76_single_A,COc1cc2cc[nH]c2c(C2:nc(C(F)(F)F)cc3nsnc:23)c1OC,-5.487701,-2.994533,2.493168,3.152695242888318,0.6739791506489614,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_77_single_A,COc1cc2cc[nH]c2c(C2:nc(F)cc3nsnc:23)c1OC,-5.29253,-2.77743,2.5151,3.179359353393414,0.6615984743684798,Single,F,DHI,Unmethlyated,7 - DHI,single
0_78_single_A,COc1cc2cc[nH]c2c(C2:nc(O)cc3nsnc:23)c1OC,-5.455311,-2.668833,2.786479,3.207173339407399,0.5014269562055352,Single,OH,DHI,Unmethlyated,7 - DHI,single
